,Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
301,60.0,364.0,2013,11.0,190000.0,1500.0,0.0,1.0,8500.0
302,60.0,409.0,2015,9.0,184000.0,1500.0,0.0,0.0,10999.0
303,77.0,756.0,2006,9.0,294000.0,2400.0,0.0,0.0,8500.0
304,76.0,356.0,2010,4.0,164000.0,1400.0,4.0,0.0,7650.0
305,43.0,196.0,2011,4.0,122841.0,1800.0,2.0,0.0,11600.0
306,48.0,14.0,2008,4.0,172000.0,1399.0,0.0,1.0,4999.0
307,6.0,750.0,2017,3.0,100000.0,2000.0,2.0,0.0,37000.0
308,66.0,499.0,2009,11.0,235000.0,1400.0,4.0,0.0,6200.0
309,22.0,269.0,2012,1.0,256000.0,1300.0,0.0,1.0,4490.0
310,5.0,111.0,2004,10.0,314000.0,3000.0,0.0,0.0,5650.0
311,49.0,151.0,2014,5.0,194000.0,1991.0,3.0,0.0,10000.0
312,16.0,275.0,2012,3.0,67000.0,1500.0,0.0,1.0,7200.0
313,49.0,276.0,2002,10.0,11111.0,3200.0,0.0,0.0,5200.0
314,66.0,672.0,2016,10.0,180000.0,2000.0,0.0,0.0,17450.0
315,60.0,364.0,2017,6.0,135000.0,1462.0,0.0,0.0,15850.0
316,51.0,244.0,2015,4.0,84000.0,1600.0,4.0,0.0,10900.0
317,73.0,146.0,2002,6.0,280000.0,2000.0,0.0,1.0,3150.0
318,42.0,328.0,2001,9.0,230000.0,1900.0,3.0,1.0,3500.0
319,55.0,139.0,2011,11.0,200123.0,2000.0,0.0,1.0,8200.0
320,76.0,533.0,2000,4.0,264000.0,1400.0,4.0,1.0,2500.0
321,5.0,109.0,2018,11.0,101000.0,2000.0,0.0,0.0,26000.0
322,75.0,129.0,2008,11.0,92424.0,1600.0,3.0,1.0,3399.0
323,49.0,335.0,2007,9.0,230000.0,2999.0,0.0,0.0,19500.0
324,33.0,774.0,2013,4.0,122000.0,1385.0,4.0,1.0,4800.0
325,66.0,499.0,2007,4.0,335165.0,1986.0,0.0,0.0,6750.0
326,60.0,364.0,2017,6.0,175000.0,1462.0,0.0,0.0,16000.0
327,49.0,735.0,2010,6.0,220000.0,2200.0,0.0,1.0,7500.0
328,5.0,109.0,2009,11.0,148000.0,2995.0,4.0,0.0,13000.0
329,16.0,441.0,2011,10.0,230000.0,1200.0,3.0,1.0,2800.0
330,73.0,713.0,2011,10.0,192000.0,1400.0,0.0,1.0,6800.0
331,76.0,526.0,2005,10.0,257000.0,3000.0,0.0,0.0,9000.0
332,73.0,149.0,2007,4.0,72000.0,1000.0,4.0,0.0,4400.0
333,60.0,629.0,2012,5.0,240000.0,1500.0,0.0,1.0,6800.0
334,73.0,431.0,2006,9.0,205000.0,2700.0,3.0,0.0,14800.0
335,66.0,672.0,2017,10.0,176000.0,2000.0,0.0,0.0,19450.0
336,55.0,248.0,2006,4.0,164274.0,1300.0,0.0,1.0,2999.0
337,76.0,691.0,2008,9.0,179000.0,1400.0,4.0,1.0,7200.0
338,11.0,195.0,2021,3.0,0.0,1589.0,4.0,0.0,14500.0
339,66.0,312.0,2002,4.0,230000.0,1400.0,4.0,1.0,950.0
340,6.0,85.0,2016,10.0,125000.0,2993.0,0.0,0.0,52500.0
341,61.0,68.0,2001,10.0,278000.0,2000.0,0.0,1.0,2650.0
342,22.0,665.0,2004,11.0,200000.0,1600.0,3.0,1.0,3000.0
343,16.0,275.0,2011,3.0,202176.0,1500.0,0.0,1.0,6900.0
